N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.99875,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.995,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9887500000000005,0.01125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.96875,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.955,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.93875,0.06125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.89875,0.10125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.84875,0.15125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.78875,0.21125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.755,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.71875,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.404375,0.095625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.393125,0.106875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.381875,0.118125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.370625,0.129375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.359375,0.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.348125,0.151875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.336875,0.163125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.325625,0.174375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.314375,0.1856249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.303125,0.196875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.291875,0.208125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.280625,0.219375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.269375,0.230625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.258125,0.241875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2468750000000002,0.253125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
